,$\tau_{6.79}$ fs,$\tau_{6.17}$ fs,$\tau_{5.18}$ fs,$\Gamma^{6.79}$ (eV)
Gill \textit{et al.} \cite{Gill1968},$< 28$,$< 2.5$,8.2 $\pm$ 1.0,$--$
"Schr{\""o}der \textit{et al.} \cite{Schroder1987}",$--$,$--$,$--$,6.3
Bertone \textit{et al.}$^{a}$ \cite{Bertone2001},$1.60^{+0.75}_{-0.72}$,$2.10^{+1.33}_{-1.32}$,$9.67^{+1.34}_{1.24}$,$0.41^{+0.34b}_{-0.13}$
Angulo \textit{et al.} \cite{Angulo2001},$--$,$--$,$--$,1.75 $\pm$ 0.60$^{c}$
Yamada \textit{et al.} \cite{Yamada2004},$0.69^{+1.10}_{-0.69}$,$--$,$--$,$0.95^{+0.60}_{-0.95}$
Formicola \textit{et al.} \cite{Formicola2004},$--$,$--$,$--$,0.8 $\pm$ 0.4$^{c}$
"Sch{\""u}rmann \textit{et al.} \cite{Schurmann2008}",$< 0.77$,$< 0.77$,8.4 $\pm$ 1.0,$> 0.85$
Azuma \textit{et al.} \cite{Azuma2010},$--$,$--$,$--$,2.38$^{c}$
Adelberger \textit{et al.} \cite{Adelberger2011},$--$,$--$,$--$,3.25$^{c}$
"Michelagnoli$^{a,d}$ \cite{Michelagnoli2013}",$< 1.0$,$--$,$--$,$> 0.66$
Galinski \textit{et al.}$^{b}$ \cite{Galinski2014},$< 1.8$,$< 2.5$,$--$,$> 0.44$
