T9,R/DC $\rightarrow$ 0.00,R/DC $\rightarrow$ 5.18*,R/DC $\rightarrow$ 6.17,R/DC $\rightarrow$ 6.79,Total (this work),Total \cite{Caughlan1988},Total \cite{Angulo1999},Total \cite{Imbriani2005}
1.00E-03,4.92E-58,0.00E+00,1.97E-58,1.96E-57,2.65E-57,4.58E-57,5.40E-57,2.33E-57
1.50E-03,8.05E-50,0.00E+00,3.29E-50,3.27E-49,4.40E-49,7.63E-49,8.97E-49,3.90E-49
2.00E-03,1.35E-44,0.00E+00,5.63E-45,5.54E-44,7.45E-44,1.30E-43,1.52E-43,6.66E-44
3.01E-03,4.10E-38,0.00E+00,1.78E-38,1.73E-37,2.32E-37,4.06E-37,4.72E-37,2.09E-37
4.00E-03,4.68E-34,0.00E+00,2.10E-34,2.02E-33,2.70E-33,4.74E-33,5.49E-33,2.46E-33
5.01E-03,4.05E-31,3.58E-255,1.88E-31,1.79E-30,2.38E-30,4.19E-30,4.83E-30,2.18E-30
7.52E-03,2.19E-26,1.17E-168,1.09E-26,1.02E-25,1.35E-25,2.38E-25,2.72E-25,1.24E-25
1.00E-02,1.98E-23,1.05E-125,1.05E-23,9.58E-23,1.26E-22,2.24E-22,2.54E-22,1.17E-22
1.50E-02,1.03E-19,1.78E-82,6.16E-20,5.41E-19,7.06E-19,1.26E-18,1.42E-18,6.63E-19
2.00E-02,2.30E-17,9.58E-61,1.54E-17,1.30E-16,1.68E-16,3.03E-16,3.37E-16,1.59E-16
3.01E-02,1.80E-14,2.60E-39,1.47E-14,1.16E-13,1.49E-13,2.69E-13,2.95E-13,1.41E-13
4.00E-02,1.11E-12,1.03E-28,1.09E-12,8.05E-12,1.03E-11,1.87E-11,2.03E-11,9.81E-12
4.99E-02,2.00E-11,2.20E-22,2.34E-11,1.62E-10,2.05E-10,3.76E-10,4.05E-10,1.98E-10
7.52E-02,2.26E-09,7.49E-14,4.08E-09,2.39E-08,3.02E-08,5.52E-08,5.84E-08,2.95E-08
1.00E-01,3.87E-08,1.01E-09,1.11E-07,5.19E-07,6.70E-07,1.20E-06,1.25E-06,6.68E-07
1.50E-01,2.38E-06,1.22E-05,5.66E-05,4.06E-05,1.12E-04,1.29E-04,1.35E-04,1.10E-04
2.00E-01,1.26E-04,1.23E-03,4.99E-03,1.86E-03,8.21E-03,8.34E-03,8.54E-03,7.87E-03
3.01E-01,9.48E-03,9.92E-02,3.94E-01,1.32E-01,6.35E-01,6.61E-01,6.55E-01,6.03E-01
4.00E-01,7.41E-02,7.74E-01,3.07E+00,1.03E+00,4.95E+00,5.21E+00,5.12E+00,4.68E+00
4.99E-01,2.38E-01,2.47E+00,9.80E+00,3.30E+00,1.58E+01,1.66E+01,1.63E+01,1.50E+01
7.52E-01,1.05E+00,1.01E+01,4.03E+01,1.41E+01,6.56E+01,6.71E+01,6.71E+01,6.24E+01
1.00E+00,2.41E+00,1.78E+01,7.11E+01,2.69E+01,1.18E+02,1.18E+02,1.19E+02,1.12E+02
1.50E+00,1.32E+01,2.64E+01,1.06E+02,5.29E+01,1.98E+02,2.02E+02,1.92E+02,1.88E+02
2.00E+00,4.88E+01,2.83E+01,1.15E+02,8.57E+01,2.78E+02,3.12E+02,2.69E+02,2.43E+02
3.01E+00,2.28E+02,2.54E+01,1.10E+02,1.87E+02,5.50E+02,7.46E+02,5.91E+02,3.28E+02
4.00E+00,5.74E+02,2.12E+01,1.02E+02,3.33E+02,1.03E+03,1.46E+03,1.20E+03,3.98E+02
4.99E+00,1.06E+03,1.77E+01,9.85E+01,5.12E+02,1.69E+03,2.35E+03,2.06E+03,4.57E+02
7.52E+00,2.51E+03,1.17E+01,9.90E+01,1.07E+03,3.69E+03,4.45E+03,4.81E+03,5.75E+02
9.95E+00,3.78E+03,8.47E+00,1.07E+02,1.64E+03,5.54E+03,6.23E+03,7.10E+03,6.55E+02
